dataset,year,variable,short,missing_code,label,count,pct
CGSS,2012,a424,fire-women-first,-2.0,不知道缺失值,29,0.25
CGSS,2012,a424,fire-women-first,-3.0,拒绝回答缺失值,17,0.14
CGSS,2012,a424,fire-women-first,-1.0,不适用缺失值,8,0.07
CGSS,2012,a425,equal-housework-split,-3.0,拒绝回答缺失值,11,0.09
CGSS,2012,a425,equal-housework-split,-2.0,不知道缺失值,5,0.04
CGSS,2012,a425,equal-housework-split,-1.0,不适用缺失值,2,0.02
CGSS,2013,a421,men-career/women-family,-2,不知道缺失值,13,0.11
CGSS,2013,a421,men-career/women-family,-3,拒绝回答缺失值,9,0.08
CGSS,2013,a422,men-innately-more-capable,-2,不知道缺失值,18,0.16
CGSS,2013,a422,men-innately-more-capable,-3,拒绝回答缺失值,14,0.12
CGSS,2013,a422,men-innately-more-capable,-1,不适用缺失值,2,0.02
CGSS,2013,a423,marry-well-over-work,-2,不知道缺失值,23,0.2
CGSS,2013,a423,marry-well-over-work,-3,拒绝回答缺失值,16,0.14
CGSS,2013,a424,fire-women-first,-2,不知道缺失值,80,0.7
CGSS,2013,a424,fire-women-first,-3,拒绝回答缺失值,34,0.3
CGSS,2013,a424,fire-women-first,-1,不适用缺失值,2,0.02
CGSS,2013,a425,equal-housework-split,-3,拒绝回答缺失值,18,0.16
CGSS,2013,a425,equal-housework-split,-2,不知道缺失值,11,0.1
CGSS,2013,a425,equal-housework-split,-1,不适用缺失值,2,0.02
CGSS,2015,a421,men-career/women-family,-8,无法回答,61,0.56
CGSS,2015,a422,men-innately-more-capable,-8,无法回答,74,0.67
CGSS,2015,a423,marry-well-over-work,-8,无法回答,140,1.28
CGSS,2015,a424,fire-women-first,-8,无法回答,338,3.08
CGSS,2015,a425,equal-housework-split,-8,无法回答,87,0.79
CGSS,2017,a421,men-career/women-family,98,不知道,41,0.33
CGSS,2017,a421,men-career/women-family,99,拒绝回答,2,0.02
CGSS,2017,a422,men-innately-more-capable,98,不知道,81,0.64
CGSS,2017,a422,men-innately-more-capable,99,拒绝回答,4,0.03
CGSS,2017,a423,marry-well-over-work,98,不知道,106,0.84
CGSS,2017,a423,marry-well-over-work,99,拒绝回答,4,0.03
CGSS,2017,a424,fire-women-first,98,不知道,276,2.19
CGSS,2017,a424,fire-women-first,99,拒绝回答,3,0.02
CGSS,2017,a425,equal-housework-split,98,不知道,52,0.41
CGSS,2017,a425,equal-housework-split,99,拒绝回答,4,0.03
CGSS,2018,a421,men-career/women-family,98,不知道,46,0.36
CGSS,2018,a421,men-career/women-family,99,拒绝回答,4,0.03
CGSS,2018,a422,men-innately-more-capable,98,不知道,77,0.6
CGSS,2018,a422,men-innately-more-capable,99,拒绝回答,5,0.04
CGSS,2018,a423,marry-well-over-work,98,不知道,104,0.81
CGSS,2018,a423,marry-well-over-work,99,拒绝回答,10,0.08
CGSS,2018,a424,fire-women-first,98,不知道,326,2.55
CGSS,2018,a424,fire-women-first,99,拒绝回答,9,0.07
CGSS,2018,a425,equal-housework-split,98,不知道,59,0.46
CGSS,2018,a425,equal-housework-split,99,拒绝回答,9,0.07
CGSS,2023,a421,men-career/women-family,NaN,,4305,38.01
CGSS,2023,a421,men-career/women-family,-2.0,不知道,22,0.19
CGSS,2023,a421,men-career/women-family,-3.0,拒绝回答,4,0.04
CGSS,2023,a422,men-innately-more-capable,NaN,,4305,38.01
CGSS,2023,a422,men-innately-more-capable,-2.0,不知道,55,0.49
CGSS,2023,a422,men-innately-more-capable,-3.0,拒绝回答,4,0.04
CGSS,2023,a423,marry-well-over-work,NaN,,4305,38.01
CGSS,2023,a423,marry-well-over-work,-2.0,不知道,83,0.73
CGSS,2023,a423,marry-well-over-work,-3.0,拒绝回答,6,0.05
CGSS,2023,a424,fire-women-first,NaN,,4305,38.01
CGSS,2023,a424,fire-women-first,-2.0,不知道,124,1.09
CGSS,2023,a424,fire-women-first,-3.0,拒绝回答,3,0.03
CGSS,2023,a425,equal-housework-split,NaN,,4305,38.01
CGSS,2023,a425,equal-housework-split,-2.0,不知道,27,0.24
CGSS,2023,a425,equal-housework-split,-3.0,拒绝回答,6,0.05
CGSS,2021,A42_1,men-career/women-family,98,不知道,65,0.8
CGSS,2021,A42_1,men-career/women-family,99,拒绝回答,4,0.05
CGSS,2021,A42_2,men-innately-more-capable,98,不知道,101,1.24
CGSS,2021,A42_2,men-innately-more-capable,99,拒绝回答,6,0.07
CGSS,2021,A42_3,marry-well-over-work,98,不知道,135,1.66
CGSS,2021,A42_3,marry-well-over-work,99,拒绝回答,10,0.12
CGSS,2021,A42_4,fire-women-first,98,不知道,320,3.93
CGSS,2021,A42_4,fire-women-first,99,拒绝回答,16,0.2
CGSS,2021,A42_5,equal-housework-split,98,不知道,54,0.66
CGSS,2021,A42_5,equal-housework-split,99,拒绝回答,7,0.09
