wave,outcome,stratum,n,term,coef,se,t,p
2020,employed,female,636,parent_avg_age,-0.00031,0.00525,-0.059,0.95269
2020,employed,female,636,parent_avg_edu,0.0109,0.00619,1.761,0.07875
2020,employed,female,636,parent_log_income,-0.01556,0.02191,-0.71,0.47804
2020,log_wage_year,all,1124,const,7.99116,1.02346,7.808,0.0
2020,log_wage_year,all,1124,mother_ideation,-0.60784,0.3849,-1.579,0.11458
2020,log_wage_year,all,1124,father_ideation,0.24075,0.40989,0.587,0.55708
2020,log_wage_year,all,1124,child_female,-0.48831,0.50541,-0.966,0.33417
2020,log_wage_year,all,1124,age_c,-0.05668,0.15807,-0.359,0.71999
2020,log_wage_year,all,1124,age_c2,-0.4102,0.09046,-4.534,1e-05
2020,log_wage_year,all,1124,urban,0.14691,0.11301,1.3,0.19387
2020,log_wage_year,all,1124,parent_avg_age,0.03071,0.01415,2.17,0.03018
2020,log_wage_year,all,1124,parent_avg_edu,0.02203,0.01675,1.315,0.18871
2020,log_wage_year,all,1124,parent_log_income,0.12119,0.06763,1.792,0.0734
2020,log_wage_year,all,1124,mother_id_x_female,0.47131,0.55805,0.845,0.39853
2020,log_wage_year,all,1124,father_id_x_female,-0.1683,0.63036,-0.267,0.78953
2020,log_wage_year,male,690,const,8.8009,1.23657,7.117,0.0
2020,log_wage_year,male,690,mother_ideation,-0.68917,0.3798,-1.815,0.07003
2020,log_wage_year,male,690,father_ideation,0.21392,0.41308,0.518,0.60472
2020,log_wage_year,male,690,age_c,0.03612,0.16858,0.214,0.8304
2020,log_wage_year,male,690,age_c2,-0.36947,0.09613,-3.843,0.00013
2020,log_wage_year,male,690,urban,0.14304,0.14291,1.001,0.31721
2020,log_wage_year,male,690,parent_avg_age,0.02306,0.01546,1.491,0.13633
2020,log_wage_year,male,690,parent_avg_edu,0.00737,0.01906,0.387,0.69917
2020,log_wage_year,male,690,parent_log_income,0.10179,0.08595,1.184,0.23669
2020,log_wage_year,female,434,const,5.85598,1.89222,3.095,0.0021
2020,log_wage_year,female,434,mother_ideation,-0.01152,0.51746,-0.022,0.98225
2020,log_wage_year,female,434,father_ideation,0.17654,0.44192,0.399,0.68975
2020,log_wage_year,female,434,age_c,-0.41392,0.34918,-1.185,0.23651
2020,log_wage_year,female,434,age_c2,-0.59981,0.21936,-2.734,0.00651
2020,log_wage_year,female,434,urban,0.17641,0.18601,0.948,0.34347
2020,log_wage_year,female,434,parent_avg_age,0.0434,0.02907,1.493,0.13616
2020,log_wage_year,female,434,parent_avg_edu,0.0456,0.03341,1.365,0.17307
2020,log_wage_year,female,434,parent_log_income,0.17311,0.11156,1.552,0.12149
2020,mgmt,all,1070,const,-0.13229,0.24303,-0.544,0.58633
2020,mgmt,all,1070,mother_ideation,-0.02306,0.10393,-0.222,0.82443
2020,mgmt,all,1070,father_ideation,-0.05972,0.08522,-0.701,0.48363
2020,mgmt,all,1070,child_female,-0.09699,0.11141,-0.871,0.38421
2020,mgmt,all,1070,age_c,-0.04953,0.03524,-1.406,0.16013
2020,mgmt,all,1070,age_c2,-0.06911,0.01818,-3.802,0.00015
2020,mgmt,all,1070,urban,0.00997,0.02497,0.399,0.68988
2020,mgmt,all,1070,parent_avg_age,0.00309,0.00286,1.082,0.27965
2020,mgmt,all,1070,parent_avg_edu,0.00426,0.0038,1.121,0.26233
2020,mgmt,all,1070,parent_log_income,0.01648,0.01214,1.357,0.17496
2020,mgmt,all,1070,mother_id_x_female,0.05858,0.13028,0.45,0.65307
2020,mgmt,all,1070,father_id_x_female,-0.00477,0.12727,-0.037,0.97011
2020,mgmt,male,647,const,-0.05354,0.31132,-0.172,0.8635
2020,mgmt,male,647,mother_ideation,-0.03782,0.1053,-0.359,0.71958
2020,mgmt,male,647,father_ideation,-0.07604,0.08603,-0.884,0.37709
2020,mgmt,male,647,age_c,-0.07535,0.04308,-1.749,0.0808
2020,mgmt,male,647,age_c2,-0.06103,0.0228,-2.676,0.00764
2020,mgmt,male,647,urban,0.02995,0.03643,0.822,0.41138
2020,mgmt,male,647,parent_avg_age,0.00395,0.00382,1.034,0.30151
2020,mgmt,male,647,parent_avg_edu,-0.00053,0.00496,-0.108,0.91433
2020,mgmt,male,647,parent_log_income,0.00645,0.01556,0.415,0.6785
2020,mgmt,female,423,const,-0.3172,0.3162,-1.003,0.31637
2020,mgmt,female,423,mother_ideation,0.06445,0.08673,0.743,0.45783
2020,mgmt,female,423,father_ideation,-0.03241,0.09952,-0.326,0.74484
2020,mgmt,female,423,age_c,0.02068,0.07096,0.291,0.77084
2020,mgmt,female,423,age_c2,-0.07974,0.03537,-2.254,0.02471
2020,mgmt,female,423,urban,-0.01156,0.03217,-0.359,0.7195
2020,mgmt,female,423,parent_avg_age,-0.0001,0.0039,-0.024,0.98056
2020,mgmt,female,423,parent_avg_edu,0.01121,0.00581,1.931,0.05419
2020,mgmt,female,423,parent_log_income,0.03957,0.01821,2.173,0.03034
2020,isei,all,1272,const,10.78796,8.76969,1.23,0.21887
2020,isei,all,1272,mother_ideation,0.86136,3.55823,0.242,0.80876
2020,isei,all,1272,father_ideation,-2.44105,3.33928,-0.731,0.46491
2020,isei,all,1272,child_female,9.10507,4.05271,2.247,0.02483
2020,isei,all,1272,age_c,-5.74917,1.32203,-4.349,1e-05
2020,isei,all,1272,age_c2,-3.64827,0.6949,-5.25,0.0
2020,isei,all,1272,urban,6.27171,1.01279,6.192,0.0
2020,isei,all,1272,parent_avg_age,0.30016,0.11265,2.665,0.00781
2020,isei,all,1272,parent_avg_edu,0.60423,0.13849,4.363,1e-05
2020,isei,all,1272,parent_log_income,0.93901,0.43241,2.172,0.03007
2020,isei,all,1272,mother_id_x_female,5.79578,5.03108,1.152,0.24954
2020,isei,all,1272,father_id_x_female,-10.42414,5.02492,-2.074,0.03824
2020,isei,male,800,const,8.00844,10.47407,0.765,0.44474
2020,isei,male,800,mother_ideation,1.22927,3.6111,0.34,0.73363
2020,isei,male,800,father_ideation,-2.605,3.34631,-0.778,0.43652
2020,isei,male,800,age_c,-6.10342,1.46444,-4.168,3e-05
2020,isei,male,800,age_c2,-2.70191,0.774,-3.491,0.00051
2020,isei,male,800,urban,7.90682,1.37661,5.744,0.0
2020,isei,male,800,parent_avg_age,0.35429,0.13324,2.659,0.00799
2020,isei,male,800,parent_avg_edu,0.48996,0.17711,2.766,0.0058
2020,isei,male,800,parent_log_income,0.85526,0.53535,1.598,0.11054
2020,isei,female,472,const,28.65863,14.77465,1.94,0.05302
2020,isei,female,472,mother_ideation,6.15745,3.68226,1.672,0.09516
2020,isei,female,472,father_ideation,-12.02904,3.82672,-3.143,0.00178
2020,isei,female,472,age_c,-5.72363,2.86031,-2.001,0.04597
2020,isei,female,472,age_c2,-6.34324,1.51194,-4.195,3e-05
2020,isei,female,472,urban,4.04533,1.50723,2.684,0.00754
2020,isei,female,472,parent_avg_age,0.1287,0.19685,0.654,0.51357
2020,isei,female,472,parent_avg_edu,0.74911,0.21809,3.435,0.00065
2020,isei,female,472,parent_log_income,1.12993,0.73773,1.532,0.12629
2020,edu_yrs,all,2196,const,9.9349,1.23111,8.07,0.0
2020,edu_yrs,all,2196,mother_ideation,-1.11684,0.45061,-2.479,0.01327
2020,edu_yrs,all,2196,father_ideation,-0.40221,0.44705,-0.9,0.36838
2020,edu_yrs,all,2196,child_female,0.9422,0.45032,2.092,0.03653
2020,edu_yrs,all,2196,age_c,-1.8027,0.33276,-5.417,0.0
2020,edu_yrs,all,2196,age_c2,-1.51934,0.15421,-9.852,0.0
2020,edu_yrs,all,2196,urban,1.03991,0.12469,8.34,0.0
2020,edu_yrs,all,2196,parent_avg_age,0.02462,0.01508,1.632,0.10274
2020,edu_yrs,all,2196,parent_avg_edu,0.1639,0.02025,8.093,0.0
2020,edu_yrs,all,2196,parent_log_income,0.08171,0.06876,1.188,0.23482
2020,edu_yrs,all,2196,mother_id_x_female,0.97338,0.57915,1.681,0.09296
2020,edu_yrs,all,2196,father_id_x_female,-1.52537,0.63823,-2.39,0.01693
2020,edu_yrs,male,1219,const,9.47149,1.6053,5.9,0.0
2020,edu_yrs,male,1219,mother_ideation,-1.02408,0.4589,-2.232,0.02583
2020,edu_yrs,male,1219,father_ideation,-0.38474,0.44872,-0.857,0.39138
2020,edu_yrs,male,1219,age_c,-1.3741,0.33619,-4.087,5e-05
2020,edu_yrs,male,1219,age_c2,-1.16994,0.15839,-7.386,0.0
2020,edu_yrs,male,1219,urban,1.3233,0.17568,7.533,0.0
2020,edu_yrs,male,1219,parent_avg_age,0.02624,0.01981,1.324,0.18569
2020,edu_yrs,male,1219,parent_avg_edu,0.14376,0.02748,5.231,0.0
2020,edu_yrs,male,1219,parent_log_income,0.11271,0.0905,1.245,0.21324
2020,edu_yrs,female,977,const,11.37813,1.72734,6.587,0.0
2020,edu_yrs,female,977,mother_ideation,-0.21567,0.40559,-0.532,0.59503
2020,edu_yrs,female,977,father_ideation,-1.87974,0.45842,-4.1,4e-05
2020,edu_yrs,female,977,age_c,-3.42498,0.7211,-4.75,0.0
2020,edu_yrs,female,977,age_c2,-2.47027,0.33077,-7.468,0.0
2020,edu_yrs,female,977,urban,0.76246,0.17592,4.334,2e-05
2020,edu_yrs,female,977,parent_avg_age,0.02036,0.02109,0.965,0.33475
2020,edu_yrs,female,977,parent_avg_edu,0.19097,0.02967,6.436,0.0
2020,edu_yrs,female,977,parent_log_income,0.01106,0.10148,0.109,0.91322
