wave,outcome,stratum,n,term,coef,se,t,p
2014,housework_hours,male,1229,parent_avg_edu,-0.01593,0.01008,-1.58,0.1143
2014,housework_hours,male,1229,parent_log_income,-0.00656,0.03211,-0.204,0.83824
2014,housework_hours,female,895,const,3.31533,0.81426,4.072,5e-05
2014,housework_hours,female,895,mother_ideation,-0.12079,0.23002,-0.525,0.59961
2014,housework_hours,female,895,father_ideation,0.11535,0.21842,0.528,0.59756
2014,housework_hours,female,895,age_c,0.13923,0.19255,0.723,0.4698
2014,housework_hours,female,895,age_c2,-0.09688,0.07827,-1.238,0.21612
2014,housework_hours,female,895,urban,-0.18754,0.08963,-2.092,0.03668
2014,housework_hours,female,895,parent_avg_age,-0.01177,0.01102,-1.068,0.28594
2014,housework_hours,female,895,parent_avg_edu,-0.04546,0.01382,-3.289,0.00104
2014,housework_hours,female,895,parent_log_income,-0.07306,0.04078,-1.792,0.07351
2014,marriage_sat,all,804,const,5.40797,0.56577,9.559,0.0
2014,marriage_sat,all,804,mother_ideation,0.1935,0.20915,0.925,0.35516
2014,marriage_sat,all,804,father_ideation,0.17633,0.17001,1.037,0.29995
2014,marriage_sat,all,804,child_female,0.34499,0.2966,1.163,0.24512
2014,marriage_sat,all,804,age_c,0.15467,0.10092,1.533,0.12577
2014,marriage_sat,all,804,age_c2,0.01344,0.06447,0.208,0.83496
2014,marriage_sat,all,804,urban,0.02116,0.05546,0.382,0.70293
2014,marriage_sat,all,804,parent_avg_age,-0.01353,0.00844,-1.603,0.1094
2014,marriage_sat,all,804,parent_avg_edu,-0.00674,0.00842,-0.8,0.42412
2014,marriage_sat,all,804,parent_log_income,-0.01679,0.0268,-0.626,0.53124
2014,marriage_sat,all,804,mother_id_x_female,-0.26933,0.37375,-0.721,0.47137
2014,marriage_sat,all,804,father_id_x_female,-0.63513,0.34141,-1.86,0.06321
2014,marriage_sat,male,530,const,5.02705,0.56669,8.871,0.0
2014,marriage_sat,male,530,mother_ideation,0.17548,0.21118,0.831,0.40639
2014,marriage_sat,male,530,father_ideation,0.17316,0.16872,1.026,0.30522
2014,marriage_sat,male,530,age_c,0.05439,0.09708,0.56,0.57555
2014,marriage_sat,male,530,age_c2,0.01063,0.07956,0.134,0.89375
2014,marriage_sat,male,530,urban,0.05691,0.06242,0.912,0.36237
2014,marriage_sat,male,530,parent_avg_age,-0.00394,0.00836,-0.471,0.63787
2014,marriage_sat,male,530,parent_avg_edu,-0.00892,0.00985,-0.905,0.36581
2014,marriage_sat,male,530,parent_log_income,-0.03508,0.02591,-1.354,0.17636
2014,marriage_sat,female,274,const,6.37068,1.23657,5.152,0.0
2014,marriage_sat,female,274,mother_ideation,-0.09426,0.31639,-0.298,0.76599
2014,marriage_sat,female,274,father_ideation,-0.42133,0.3064,-1.375,0.17025
2014,marriage_sat,female,274,age_c,0.29462,0.2488,1.184,0.23741
2014,marriage_sat,female,274,age_c2,0.01344,0.13383,0.1,0.92007
