frame,outcome,stratum,n_hi,n_lo,diff,t,p,d
lagged_2014to2020,employed_2020,female,1933,2564,0.009297624879645916,2.3935771104615866,0.016725747144235237,0.06951574263093749
lagged_2014to2020,log_wage_month_2020,all,1104,2980,-0.17757599146742375,-3.6362127930401664,0.00028452058920238433,-0.13525365163499534
lagged_2014to2020,log_wage_month_2020,male,667,1676,-0.025296344482189426,-0.47650750439700634,0.6337926985152419,-0.021186322375355744
lagged_2014to2020,log_wage_month_2020,female,437,1304,-0.44210035612440013,-4.979944901937005,8.253502164495994e-07,-0.3119092099485104
lagged_2014to2020,log_wage_year_2020,all,1474,3442,-0.32547810032055047,-6.148865104220186,8.93701702140517e-10,-0.19253873600794172
lagged_2014to2020,log_wage_year_2020,male,899,1993,-0.16664918390806172,-2.610220662775992,0.009124654129661344,-0.10389445773805718
lagged_2014to2020,log_wage_year_2020,female,575,1449,-0.5964382543456512,-6.734993963384607,2.7258427197113345e-11,-0.3363389560427866
lagged_2014to2020,mgmt_2020,all,1150,3027,-0.03517042271728357,-3.310572243045887,0.000945076181063424,-0.10788835379688101
lagged_2014to2020,mgmt_2020,male,687,1705,-0.03988867403432836,-2.607650036628716,0.009212346277391457,-0.11203935474290945
lagged_2014to2020,mgmt_2020,female,463,1322,-0.03396908277594978,-2.5160526020807774,0.012025288372964918,-0.12292038077291517
lagged_2014to2020,promotion_2020,all,1147,3026,-0.04312551896928163,-4.645153344743343,3.569156213019756e-06,-0.14563229170566427
lagged_2014to2020,promotion_2020,male,685,1704,-0.034746067646756446,-2.644556259931066,0.008267362471975424,-0.11204581902606159
lagged_2014to2020,promotion_2020,female,462,1322,-0.05721031363996568,-4.630313294437092,4.045683172838425e-06,-0.20752135616005463
lagged_2014to2020,has_sub_2020,all,1475,3603,-0.024301029744516117,-2.2805542753271637,0.02264644066951773,-0.06843672863794598
lagged_2014to2020,has_sub_2020,male,864,2041,-0.007317582158346492,-0.4710190653258005,0.637689445701874,-0.018997239009074244
lagged_2014to2020,has_sub_2020,female,611,1562,-0.05133479047173983,-3.942882194092474,8.441019452505244e-05,-0.16856953474373093
lagged_2014to2020,bianzhi_2020,all,281,965,-0.12446665314476424,-3.745432291093762,0.00020266591358141306,-0.25027835106031276
lagged_2014to2020,bianzhi_2020,male,188,511,-0.13641379023191907,-3.2340242177427565,0.001341567907749509,-0.2745009202065296
lagged_2014to2020,bianzhi_2020,female,93,454,-0.1336270190895742,-2.4540724677927974,0.015377912298722063,-0.2698198000622439
lagged_2014to2020,isei_2020,all,3533,5346,-7.951721140496812,-26.80411172753712,3.164726441455376e-152,-0.5433796200076472
lagged_2014to2020,isei_2020,male,1781,3013,-5.410060242412026,-13.112042813835611,1.4786667665136678e-38,-0.37009419240511204
lagged_2014to2020,isei_2020,female,1752,2333,-10.894737897977596,-25.320875383465882,3.396477980476259e-131,-0.7507980686469039
